@relation Data

@attribute MPG numeric
@attribute MPG_text {bad,good}
@attribute cylinders numeric
@attribute displacement numeric
@attribute horsepower numeric
@attribute weight numeric
@attribute acceleration numeric
@attribute model_year numeric
@attribute country_origin_code numeric
@attribute country_origin {USA,Asia,Europe}
@attribute car_name {'chevrolet chevelle malibu','buick skylark 320','plymouth satellite','amc rebel sst','ford torino','ford galaxie 500','chevrolet impala','plymouth fury iii','pontiac catalina','amc ambassador dpl','dodge challenger se','plymouth \'cuda 340','chevrolet monte carlo','buick estate wagon (sw)','toyota corona mark ii','plymouth duster','amc hornet','ford maverick','datsun pl510','volkswagen 1131 deluxe sedan','peugeot 504','audi 100 ls','saab 99e','bmw 2002','amc gremlin','ford f250','chevy c20','dodge d200','hi 1200d','chevrolet vega 2300','toyota corona','ford pinto','plymouth satellite custom','ford torino 500','amc matador','pontiac catalina brougham','dodge monaco (sw)','ford country squire (sw)','pontiac safari (sw)','amc hornet sportabout (sw)','chevrolet vega (sw)','pontiac firebird','ford mustang','mercury capri 2000','opel 1900','peugeot 304','fiat 124b','toyota corolla 1200','datsun 1200','volkswagen model 111','plymouth cricket','toyota corona hardtop','dodge colt hardtop','volkswagen type 3','chevrolet vega','ford pinto runabout','amc ambassador sst','mercury marquis','buick lesabre custom','oldsmobile delta 88 royale','chrysler newport royal','mazda rx2 coupe','amc matador (sw)','chevrolet chevelle concours (sw)','ford gran torino (sw)','plymouth satellite custom (sw)','volvo 145e (sw)','volkswagen 411 (sw)','peugeot 504 (sw)','renault 12 (sw)','ford pinto (sw)','datsun 510 (sw)','toyouta corona mark ii (sw)','dodge colt (sw)','toyota corolla 1600 (sw)','buick century 350','chevrolet malibu','ford gran torino','dodge coronet custom','mercury marquis brougham','chevrolet caprice classic','ford ltd','plymouth fury gran sedan','chrysler new yorker brougham','buick electra 225 custom','amc ambassador brougham','plymouth valiant','chevrolet nova custom','volkswagen super beetle','ford country','plymouth custom suburb','oldsmobile vista cruiser','toyota carina','datsun 610','maxda rx3','mercury capri v6','fiat 124 sport coupe','chevrolet monte carlo s','pontiac grand prix','fiat 128','opel manta','audi 100ls','volvo 144ea','dodge dart custom','saab 99le','toyota mark ii','oldsmobile omega','chevrolet nova','datsun b210','chevrolet chevelle malibu classic','plymouth satellite sebring','buick century luxus (sw)','dodge coronet custom (sw)','audi fox','volkswagen dasher','datsun 710','dodge colt','fiat 124 tc','honda civic',subaru,'fiat x1.9','plymouth valiant custom','mercury monarch','chevrolet bel air','plymouth grand fury','buick century','chevroelt chevelle malibu','plymouth fury','buick skyhawk','chevrolet monza 2+2','ford mustang ii','toyota corolla','pontiac astro','volkswagen rabbit','amc pacer','volvo 244dl','honda civic cvcc','fiat 131','capri ii','renault 12tl','dodge coronet brougham','chevrolet chevette','chevrolet woody','vw rabbit','dodge aspen se','ford granada ghia','pontiac ventura sj','amc pacer d/l','datsun b-210','volvo 245','plymouth volare premier v8','mercedes-benz 280s','cadillac seville','chevy c10','ford f108','dodge d100','honda accord cvcc','buick opel isuzu deluxe','renault 5 gtl','plymouth arrow gs','datsun f-10 hatchback','oldsmobile cutlass supreme','dodge monaco brougham','mercury cougar brougham','chevrolet concours','buick skylark','plymouth volare custom','ford granada','pontiac grand prix lj','chevrolet monte carlo landau','chrysler cordoba','ford thunderbird','volkswagen rabbit custom','pontiac sunbird coupe','toyota corolla liftback','ford mustang ii 2+2','dodge colt m/m','subaru dl','datsun 810','bmw 320i','mazda rx-4','volkswagen rabbit custom diesel','ford fiesta','mazda glc deluxe','datsun b210 gx','oldsmobile cutlass salon brougham','dodge diplomat','mercury monarch ghia','pontiac phoenix lj','ford fairmont (auto)','ford fairmont (man)','plymouth volare','amc concord','buick century special','mercury zephyr','dodge aspen','amc concord d/l','buick regal sport coupe (turbo)','ford futura','dodge magnum xe','datsun 510','dodge omni','toyota celica gt liftback','plymouth sapporo','oldsmobile starfire sx','datsun 200-sx','audi 5000','volvo 264gl','saab 99gle','peugeot 604sl','volkswagen scirocco','honda accord lx','pontiac lemans v6','mercury zephyr 6','ford fairmont 4','amc concord dl 6','dodge aspen 6','ford ltd landau','mercury grand marquis','dodge st. regis','chevrolet malibu classic (sw)','chrysler lebaron town @ country (sw)','vw rabbit custom','maxda glc deluxe','dodge colt hatchback custom','amc spirit dl','mercedes benz 300d','cadillac eldorado','plymouth horizon','plymouth horizon tc3','datsun 210','fiat strada custom','buick skylark limited','chevrolet citation','oldsmobile omega brougham','pontiac phoenix','toyota corolla tercel','datsun 310','ford fairmont','audi 4000','toyota corona liftback','mazda 626','datsun 510 hatchback','mazda glc','vw rabbit c (diesel)','vw dasher (diesel)','audi 5000s (diesel)','mercedes-benz 240d','honda civic 1500 gl','renault lecar deluxe','vokswagen rabbit','datsun 280-zx','mazda rx-7 gs','triumph tr7 coupe','ford mustang cobra','honda accord','plymouth reliant','dodge aries wagon (sw)','toyota starlet','plymouth champ','honda civic 1300','datsun 210 mpg','toyota tercel','mazda glc 4','plymouth horizon 4','ford escort 4w','ford escort 2h','volkswagen jetta','renault 18i','honda prelude','datsun 200sx','peugeot 505s turbo diesel','volvo diesel','toyota cressida','datsun 810 maxima','oldsmobile cutlass ls','ford granada gl','chrysler lebaron salon','chevrolet cavalier','chevrolet cavalier wagon','chevrolet cavalier 2-door','pontiac j2000 se hatchback','dodge aries se','ford fairmont futura','amc concord dl','volkswagen rabbit l','mazda glc custom l','mazda glc custom','plymouth horizon miser','mercury lynx l','nissan stanza xe','honda civic (auto)','datsun 310 gx','buick century limited','oldsmobile cutlass ciera (diesel)','chrysler lebaron medallion','ford granada l','toyota celica gt','dodge charger 2.2','chevrolet camaro','ford mustang gl','vw pickup','dodge rampage','ford ranger','chevy s-10'}

@data
30.5,good,4,98,63,2051,17,77,1,USA,'chevrolet chevette'
33.5,good,4,98,83,2075,15.9,77,1,USA,'dodge colt m/m'
30,good,4,97,67,1985,16.4,77,3,Asia,'subaru dl'
30.5,good,4,97,78,2190,14.1,77,2,Europe,'volkswagen dasher'
22,good,6,146,97,2815,14.5,77,3,Asia,'datsun 810'
21.5,good,4,121,110,2600,12.8,77,2,Europe,'bmw 320i'
21.5,good,3,80,110,2720,13.5,77,3,Asia,'mazda rx-4'
43.1,good,4,90,48,1985,21.5,78,2,Europe,'volkswagen rabbit custom diesel'
36.1,good,4,98,66,1800,14.4,78,1,USA,'ford fiesta'
32.8,good,4,78,52,1985,19.4,78,3,Asia,'mazda glc deluxe'
39.4,good,4,85,70,2070,18.6,78,3,Asia,'datsun b210 gx'
36.1,good,4,91,60,1800,16.4,78,3,Asia,'honda civic cvcc'
19.9,bad,8,260,110,3365,15.5,78,1,USA,'oldsmobile cutlass salon brougham'
19.4,bad,8,318,140,3735,13.2,78,1,USA,'dodge diplomat'
20.2,good,8,302,139,3570,12.8,78,1,USA,'mercury monarch ghia'
19.2,bad,6,231,105,3535,19.2,78,1,USA,'pontiac phoenix lj'
20.5,good,6,200,95,3155,18.2,78,1,USA,'chevrolet malibu'
20.2,good,6,200,85,2965,15.8,78,1,USA,'ford fairmont (auto)'
25.1,good,4,140,88,2720,15.4,78,1,USA,'ford fairmont (man)'
20.5,good,6,225,100,3430,17.2,78,1,USA,'plymouth volare'
19.4,bad,6,232,90,3210,17.2,78,1,USA,'amc concord'
20.6,good,6,231,105,3380,15.8,78,1,USA,'buick century special'
20.8,good,6,200,85,3070,16.7,78,1,USA,'mercury zephyr'
18.6,bad,6,225,110,3620,18.7,78,1,USA,'dodge aspen'
18.1,bad,6,258,120,3410,15.1,78,1,USA,'amc concord d/l'
19.2,bad,8,305,145,3425,13.2,78,1,USA,'chevrolet monte carlo landau'
17.7,bad,6,231,165,3445,13.4,78,1,USA,'buick regal sport coupe (turbo)'
18.1,bad,8,302,139,3205,11.2,78,1,USA,'ford futura'
17.5,bad,8,318,140,4080,13.7,78,1,USA,'dodge magnum xe'
30,good,4,98,68,2155,16.5,78,1,USA,'chevrolet chevette'
27.5,good,4,134,95,2560,14.2,78,3,Asia,'toyota corona'
27.2,good,4,119,97,2300,14.7,78,3,Asia,'datsun 510'
30.9,good,4,105,75,2230,14.5,78,1,USA,'dodge omni'
21.1,good,4,134,95,2515,14.8,78,3,Asia,'toyota celica gt liftback'
23.2,good,4,156,105,2745,16.7,78,1,USA,'plymouth sapporo'
23.8,good,4,151,85,2855,17.6,78,1,USA,'oldsmobile starfire sx'
23.9,good,4,119,97,2405,14.9,78,3,Asia,'datsun 200-sx'
20.3,good,5,131,103,2830,15.9,78,2,Europe,'audi 5000'
17,bad,6,163,125,3140,13.6,78,2,Europe,'volvo 264gl'
21.6,good,4,121,115,2795,15.7,78,2,Europe,'saab 99gle'
16.2,bad,6,163,133,3410,15.8,78,2,Europe,'peugeot 604sl'
31.5,good,4,89,71,1990,14.9,78,2,Europe,'volkswagen scirocco'
29.5,good,4,98,68,2135,16.6,78,3,Asia,'honda accord lx'
21.5,good,6,231,115,3245,15.4,79,1,USA,'pontiac lemans v6'
19.8,bad,6,200,85,2990,18.2,79,1,USA,'mercury zephyr 6'
22.3,good,4,140,88,2890,17.3,79,1,USA,'ford fairmont 4'
20.2,good,6,232,90,3265,18.2,79,1,USA,'amc concord dl 6'
20.6,good,6,225,110,3360,16.6,79,1,USA,'dodge aspen 6'
17,bad,8,305,130,3840,15.4,79,1,USA,'chevrolet caprice classic'
17.6,bad,8,302,129,3725,13.4,79,1,USA,'ford ltd landau'
16.5,bad,8,351,138,3955,13.2,79,1,USA,'mercury grand marquis'
18.2,bad,8,318,135,3830,15.2,79,1,USA,'dodge st. regis'
16.9,bad,8,350,155,4360,14.9,79,1,USA,'buick estate wagon (sw)'
15.5,bad,8,351,142,4054,14.3,79,1,USA,'ford country squire (sw)'
19.2,bad,8,267,125,3605,15,79,1,USA,'chevrolet malibu classic (sw)'
18.5,bad,8,360,150,3940,13,79,1,USA,'chrysler lebaron town @ country (sw)'
31.9,good,4,89,71,1925,14,79,2,Europe,'vw rabbit custom'
34.1,good,4,86,65,1975,15.2,79,3,Asia,'maxda glc deluxe'
35.7,good,4,98,80,1915,14.4,79,1,USA,'dodge colt hatchback custom'
27.4,good,4,121,80,2670,15,79,1,USA,'amc spirit dl'
25.4,good,5,183,77,3530,20.1,79,2,Europe,'mercedes benz 300d'
23,good,8,350,125,3900,17.4,79,1,USA,'cadillac eldorado'
27.2,good,4,141,71,3190,24.8,79,2,Europe,'peugeot 504'
23.9,good,8,260,90,3420,22.2,79,1,USA,'oldsmobile cutlass salon brougham'
34.2,good,4,105,70,2200,13.2,79,1,USA,'plymouth horizon'
34.5,good,4,105,70,2150,14.9,79,1,USA,'plymouth horizon tc3'
31.8,good,4,85,65,2020,19.2,79,3,Asia,'datsun 210'
37.3,good,4,91,69,2130,14.7,79,2,Europe,'fiat strada custom'
28.4,good,4,151,90,2670,16,79,1,USA,'buick skylark limited'
28.8,good,6,173,115,2595,11.3,79,1,USA,'chevrolet citation'
26.8,good,6,173,115,2700,12.9,79,1,USA,'oldsmobile omega brougham'
33.5,good,4,151,90,2556,13.2,79,1,USA,'pontiac phoenix'
41.5,good,4,98,76,2144,14.7,80,2,Europe,'vw rabbit'
38.1,good,4,89,60,1968,18.8,80,3,Asia,'toyota corolla tercel'
32.1,good,4,98,70,2120,15.5,80,1,USA,'chevrolet chevette'
37.2,good,4,86,65,2019,16.4,80,3,Asia,'datsun 310'
28,good,4,151,90,2678,16.5,80,1,USA,'chevrolet citation'
26.4,good,4,140,88,2870,18.1,80,1,USA,'ford fairmont'
24.3,good,4,151,90,3003,20.1,80,1,USA,'amc concord'
19.1,bad,6,225,90,3381,18.7,80,1,USA,'dodge aspen'
34.3,good,4,97,78,2188,15.8,80,2,Europe,'audi 4000'
29.8,good,4,134,90,2711,15.5,80,3,Asia,'toyota corona liftback'
31.3,good,4,120,75,2542,17.5,80,3,Asia,'mazda 626'
37,good,4,119,92,2434,15,80,3,Asia,'datsun 510 hatchback'
32.2,good,4,108,75,2265,15.2,80,3,Asia,'toyota corolla'
46.6,good,4,86,65,2110,17.9,80,3,Asia,'mazda glc'
27.9,good,4,156,105,2800,14.4,80,1,USA,'dodge colt'
40.8,good,4,85,65,2110,19.2,80,3,Asia,'datsun 210'
44.3,good,4,90,48,2085,21.7,80,2,Europe,'vw rabbit c (diesel)'
43.4,good,4,90,48,2335,23.7,80,2,Europe,'vw dasher (diesel)'
36.4,good,5,121,67,2950,19.9,80,2,Europe,'audi 5000s (diesel)'
30,good,4,146,67,3250,21.8,80,2,Europe,'mercedes-benz 240d'
44.6,good,4,91,67,1850,13.8,80,3,Asia,'honda civic 1500 gl'
40.9,good,4,85,?,1835,17.3,80,2,Europe,'renault lecar deluxe'
33.8,good,4,97,67,2145,18,80,3,Asia,'subaru dl'
29.8,good,4,89,62,1845,15.3,80,2,Europe,'vokswagen rabbit'
32.7,good,6,168,132,2910,11.4,80,3,Asia,'datsun 280-zx'
23.7,good,3,70,100,2420,12.5,80,3,Asia,'mazda rx-7 gs'
35,good,4,122,88,2500,15.1,80,2,Europe,'triumph tr7 coupe'
23.6,good,4,140,?,2905,14.3,80,1,USA,'ford mustang cobra'
32.4,good,4,107,72,2290,17,80,3,Asia,'honda accord'
27.2,good,4,135,84,2490,15.7,81,1,USA,'plymouth reliant'
26.6,good,4,151,84,2635,16.4,81,1,USA,'buick skylark'
25.8,good,4,156,92,2620,14.4,81,1,USA,'dodge aries wagon (sw)'
23.5,good,6,173,110,2725,12.6,81,1,USA,'chevrolet citation'
30,good,4,135,84,2385,12.9,81,1,USA,'plymouth reliant'
39.1,good,4,79,58,1755,16.9,81,3,Asia,'toyota starlet'
39,good,4,86,64,1875,16.4,81,1,USA,'plymouth champ'
35.1,good,4,81,60,1760,16.1,81,3,Asia,'honda civic 1300'
32.3,good,4,97,67,2065,17.8,81,3,Asia,subaru
37,good,4,85,65,1975,19.4,81,3,Asia,'datsun 210 mpg'
37.7,good,4,89,62,2050,17.3,81,3,Asia,'toyota tercel'
34.1,good,4,91,68,1985,16,81,3,Asia,'mazda glc 4'
34.7,good,4,105,63,2215,14.9,81,1,USA,'plymouth horizon 4'
34.4,good,4,98,65,2045,16.2,81,1,USA,'ford escort 4w'
29.9,good,4,98,65,2380,20.7,81,1,USA,'ford escort 2h'
33,good,4,105,74,2190,14.2,81,2,Europe,'volkswagen jetta'
34.5,good,4,100,?,2320,15.8,81,2,Europe,'renault 18i'
33.7,good,4,107,75,2210,14.4,81,3,Asia,'honda prelude'
32.4,good,4,108,75,2350,16.8,81,3,Asia,'toyota corolla'
32.9,good,4,119,100,2615,14.8,81,3,Asia,'datsun 200sx'
31.6,good,4,120,74,2635,18.3,81,3,Asia,'mazda 626'
28.1,good,4,141,80,3230,20.4,81,2,Europe,'peugeot 505s turbo diesel'
30.7,good,6,145,76,3160,19.6,81,2,Europe,'volvo diesel'
25.4,good,6,168,116,2900,12.6,81,3,Asia,'toyota cressida'
24.2,good,6,146,120,2930,13.8,81,3,Asia,'datsun 810 maxima'
22.4,good,6,231,110,3415,15.8,81,1,USA,'buick century'
26.6,good,8,350,105,3725,19,81,1,USA,'oldsmobile cutlass ls'
20.2,good,6,200,88,3060,17.1,81,1,USA,'ford granada gl'
17.6,bad,6,225,85,3465,16.6,81,1,USA,'chrysler lebaron salon'
28,good,4,112,88,2605,19.6,82,1,USA,'chevrolet cavalier'
27,good,4,112,88,2640,18.6,82,1,USA,'chevrolet cavalier wagon'
34,good,4,112,88,2395,18,82,1,USA,'chevrolet cavalier 2-door'
31,good,4,112,85,2575,16.2,82,1,USA,'pontiac j2000 se hatchback'
29,good,4,135,84,2525,16,82,1,USA,'dodge aries se'
27,good,4,151,90,2735,18,82,1,USA,'pontiac phoenix'
24,good,4,140,92,2865,16.4,82,1,USA,'ford fairmont futura'
23,good,4,151,?,3035,20.5,82,1,USA,'amc concord dl'
36,good,4,105,74,1980,15.3,82,2,Europe,'volkswagen rabbit l'
37,good,4,91,68,2025,18.2,82,3,Asia,'mazda glc custom l'
31,good,4,91,68,1970,17.6,82,3,Asia,'mazda glc custom'
38,good,4,105,63,2125,14.7,82,1,USA,'plymouth horizon miser'
36,good,4,98,70,2125,17.3,82,1,USA,'mercury lynx l'
36,good,4,120,88,2160,14.5,82,3,Asia,'nissan stanza xe'
36,good,4,107,75,2205,14.5,82,3,Asia,'honda accord'
34,good,4,108,70,2245,16.9,82,3,Asia,'toyota corolla'
38,good,4,91,67,1965,15,82,3,Asia,'honda civic'
32,good,4,91,67,1965,15.7,82,3,Asia,'honda civic (auto)'
38,good,4,91,67,1995,16.2,82,3,Asia,'datsun 310 gx'
25,good,6,181,110,2945,16.4,82,1,USA,'buick century limited'
38,good,6,262,85,3015,17,82,1,USA,'oldsmobile cutlass ciera (diesel)'
26,good,4,156,92,2585,14.5,82,1,USA,'chrysler lebaron medallion'
22,good,6,232,112,2835,14.7,82,1,USA,'ford granada l'
32,good,4,144,96,2665,13.9,82,3,Asia,'toyota celica gt'
36,good,4,135,84,2370,13,82,1,USA,'dodge charger 2.2'
27,good,4,151,90,2950,17.3,82,1,USA,'chevrolet camaro'
27,good,4,140,86,2790,15.6,82,1,USA,'ford mustang gl'
44,good,4,97,52,2130,24.6,82,2,Europe,'vw pickup'
32,good,4,135,84,2295,11.6,82,1,USA,'dodge rampage'
28,good,4,120,79,2625,18.6,82,1,USA,'ford ranger'
31,good,4,119,82,2720,19.4,82,1,USA,'chevy s-10'
